Age,1881-1890,1891-1900,1901-1910,1920-1922,1932-1934,1946-1948,1953-1955,1960-1962,1965-1967,1970-1972,1975-1977,1980-1982,1985-1987,1990-1992,1995-1997,2000-02,2005-07,,Source
73,0.06183,0.06149,0.06502,0.0556,0.05081,0.04888,0.0445,0.04057,0.04054,0.03999,0.03251,0.02843,0.02685,0.02429,0.02122,0.01841,0.01568,,
74,0.06842,0.06836,0.07135,0.0616,0.05626,0.05392,0.04948,0.04517,0.04486,0.0443,0.03616,0.0316,0.02976,0.02713,0.02367,0.02056,0.01763,,
75,0.07637,0.0763,0.07779,0.0682,0.06229,0.05954,0.055,0.05024,0.04967,0.04937,0.0403,0.03521,0.03305,0.03029,0.02654,0.02269,0.01982,,
76,0.0849,0.08513,0.08431,0.0755,0.06886,0.06589,0.06117,0.05587,0.05515,0.05457,0.04498,0.03932,0.03677,0.0338,0.0299,0.025,0.02228,,
77,0.09375,0.09427,0.09101,0.0835,0.07594,0.07317,0.06798,0.06207,0.06135,0.06037,0.05023,0.04399,0.04098,0.03773,0.03382,0.02777,0.02511,,
78,0.10319,0.10323,0.09801,0.0923,0.08361,0.08142,0.07557,0.06895,0.06833,0.06684,0.05611,0.04925,0.04573,0.04211,0.03834,0.03123,0.02838,,
79,0.11346,0.1126,0.10542,0.1019,0.09198,0.09051,0.08395,0.0766,0.07607,0.07506,0.06265,0.05517,0.05107,0.04702,0.04341,0.03543,0.03219,,
80,0.12447,0.12235,0.11333,0.1123,0.10106,0.10027,0.09314,0.08507,0.08461,0.08258,0.06987,0.06179,0.05703,0.0525,0.0489,0.04036,0.03661,,
81,0.13621,0.13192,0.12185,0.1235,0.11084,0.11051,0.10313,0.09432,0.09383,0.09197,0.07778,0.06915,0.06368,0.0586,0.05479,0.04599,0.04175,,
82,0.14867,0.1418,0.131,0.135,0.12132,0.1213,0.1139,0.1044,0.10377,0.10173,0.08639,0.0773,0.07104,0.06538,0.0612,0.05232,0.04767,,
83,0.16156,0.1525,0.14091,0.147,0.13269,0.13286,0.12541,0.11526,0.11438,0.1132,0.0957,0.08627,0.07917,0.07288,0.06835,0.05932,0.05445,,
84,0.17468,0.16345,0.15197,0.159,0.14508,0.14517,0.13753,0.12692,0.12573,0.12304,0.10572,0.09603,0.08808,0.08115,0.0764,0.06698,0.06216,,
85,0.18779,0.17463,0.16459,0.172,0.15837,0.15818,0.15018,0.13927,0.13782,0.135,0.11644,0.10656,0.09781,0.09021,0.08553,0.07528,0.07088,,
86,0.20087,0.18651,0.1787,0.186,0.1724,0.17185,0.16336,0.15231,0.15064,0.14579,0.12788,0.11785,0.10839,0.10011,0.09591,0.0842,0.08065,,
87,0.21395,0.19902,0.19381,0.201,0.18698,0.18582,0.17709,0.16597,0.16404,0.15736,0.14001,0.12985,0.11984,0.11087,0.1076,0.09372,0.09154,,
88,0.227,0.21214,0.20938,0.217,0.20203,0.20077,0.19147,0.1802,0.17802,0.16936,0.15284,0.14253,0.13217,0.12252,0.12037,0.10381,0.10358,,
89,0.24022,0.22581,0.22538,0.234,0.2176,0.21677,0.20657,0.19486,0.19241,0.18227,0.16632,0.15586,0.14536,0.13508,0.13388,0.11445,0.11678,,
90,0.25359,0.23999,0.24221,0.251,0.23391,0.23384,0.22252,0.2099,0.2071,0.19611,0.18027,0.16982,0.15922,0.14856,0.14786,0.12579,0.13094,,
91,0.26707,0.25463,0.26017,0.269,0.2513,0.25202,0.23946,0.22521,0.22195,0.20927,0.19451,0.18434,0.17355,0.16289,0.16185,0.13784,0.14585,,
92,0.28068,0.27009,0.27916,0.287,0.27029,0.27135,0.25739,0.24079,0.23698,0.22295,0.20883,0.19942,0.18815,0.1777,0.17537,0.15011,0.1613,,
93,0.29453,0.28664,0.29906,0.306,0.2915,0.29186,0.27617,0.25656,0.25213,0.23715,0.22309,0.21499,0.20284,0.19258,0.18832,0.16205,0.1771,,
94,0.30916,0.30485,0.31975,0.326,0.31572,0.31356,0.29579,0.27255,0.26746,0.25181,0.2371,0.23102,0.21744,0.20715,0.20099,0.17337,0.19304,,
95,0.32487,0.32567,0.34145,0.347,0.34388,0.33647,0.31627,0.28875,0.28296,0.26694,0.25072,0.24748,0.23179,0.22103,0.21371,0.18436,0.20895,,
96,0.34154,0.34947,0.36471,0.369,0.37706,0.36057,0.33756,0.30523,0.29867,0.2825,0.26383,0.26432,0.24575,0.23455,0.22639,0.1954,0.22467,,
97,0.35904,0.37648,0.38962,0.392,0.41648,0.38586,0.35965,0.32197,0.31459,0.29848,0.27627,0.28147,0.25916,0.248,0.2389,0.20635,0.24005,,
98,0.3776,0.40683,0.41584,0.416,0.4635,0.41228,0.3825,0.33899,0.3307,0.31486,0.28795,0.29893,0.2719,0.26102,0.25124,0.21721,0.25495,,
99,0.40595,0.44661,0.4505,0.451,0.51963,0.43979,0.40605,0.35626,0.34698,0.33159,0.29232,0.31662,0.28387,0.27325,0.2634,0.22797,0.26925,,
100,0.45282,0.50191,0.50073,0.501,0.58653,0.46832,0.43023,0.3738,0.36342,0.34865,0.2971,0.33451,0.29494,0.28511,0.27538,0.23863,0.28281,,
